地区,邮政编码,确诊人数,疑似人数,治愈人数,死亡人数,时间
上海市境外输入,0,2458,8,2391,0,2021-11-27 08:48:21
浦东新区,310115,79,0,76,1,2021-11-27 08:48:21
青浦区,310118,7,0,6,0,2021-11-27 08:48:21
上海市外地来沪,0,113,0,112,1,2021-11-27 08:48:21
宝山区,310113,26,0,25,1,2021-11-27 08:48:21
黄浦区,310101,22,0,22,0,2021-11-27 08:48:21
闵行区,310112,19,0,19,0,2021-11-27 08:48:21
徐汇区,310104,18,0,17,1,2021-11-27 08:48:21
静安区,310106,16,0,15,1,2021-11-27 08:48:21
松江区,310117,16,0,16,0,2021-11-27 08:48:21
长宁区,310105,14,0,14,0,2021-11-27 08:48:21
普陀区,310107,11,0,11,0,2021-11-27 08:48:21
杨浦区,310110,9,0,9,0,2021-11-27 08:48:21
嘉定区,310114,9,0,7,2,2021-11-27 08:48:21
奉贤区,310120,9,0,9,0,2021-11-27 08:48:21
虹口区,310109,7,0,7,0,2021-11-27 08:48:21
金山区,310116,4,0,4,0,2021-11-27 08:48:21
崇明区,310151,4,0,4,0,2021-11-27 08:48:21
境外来沪,0,1,0,1,0,2021-11-27 08:48:21
上海市境外输入,0,2453,8,2388,0,2021-11-26 09:52:18
浦东新区,310115,79,0,76,1,2021-11-26 09:52:18
青浦区,310118,7,0,6,0,2021-11-26 09:52:18
上海市外地来沪,0,113,0,112,1,2021-11-26 09:52:18
宝山区,310113,26,0,25,1,2021-11-26 09:52:18
黄浦区,310101,22,0,22,0,2021-11-26 09:52:18
闵行区,310112,19,0,19,0,2021-11-26 09:52:18
徐汇区,310104,18,0,17,1,2021-11-26 09:52:18
静安区,310106,16,0,15,1,2021-11-26 09:52:18
松江区,310117,16,0,16,0,2021-11-26 09:52:18
长宁区,310105,14,0,14,0,2021-11-26 09:52:18
普陀区,310107,11,0,11,0,2021-11-26 09:52:18
杨浦区,310110,9,0,9,0,2021-11-26 09:52:18
嘉定区,310114,9,0,7,2,2021-11-26 09:52:18
奉贤区,310120,9,0,9,0,2021-11-26 09:52:18
虹口区,310109,7,0,7,0,2021-11-26 09:52:18
金山区,310116,4,0,4,0,2021-11-26 09:52:18
崇明区,310151,4,0,4,0,2021-11-26 09:52:18
境外来沪,0,1,0,1,0,2021-11-26 09:52:18
上海市境外输入,0,2452,8,2385,0,2021-11-25 18:42:38
浦东新区,310115,79,0,76,1,2021-11-25 18:42:38
青浦区,310118,7,0,6,0,2021-11-25 18:42:38
上海市外地来沪,0,113,0,112,1,2021-11-25 18:42:38
宝山区,310113,26,0,25,1,2021-11-25 18:42:38
黄浦区,310101,22,0,22,0,2021-11-25 18:42:38
闵行区,310112,19,0,19,0,2021-11-25 18:42:38
徐汇区,310104,18,0,17,1,2021-11-25 18:42:38
静安区,310106,16,0,15,1,2021-11-25 18:42:38
松江区,310117,16,0,16,0,2021-11-25 18:42:38
长宁区,310105,14,0,14,0,2021-11-25 18:42:38
普陀区,310107,11,0,11,0,2021-11-25 18:42:38
杨浦区,310110,9,0,9,0,2021-11-25 18:42:38
嘉定区,310114,9,0,7,2,2021-11-25 18:42:38
奉贤区,310120,9,0,9,0,2021-11-25 18:42:38
虹口区,310109,7,0,7,0,2021-11-25 18:42:38
金山区,310116,4,0,4,0,2021-11-25 18:42:38
崇明区,310151,4,0,4,0,2021-11-25 18:42:38
境外来沪,0,1,0,1,0,2021-11-25 18:42:38
上海市境外输入,0,2452,8,2385,0,2021-11-25 18:28:21
浦东新区,310115,79,0,76,1,2021-11-25 18:28:21
青浦区,310118,7,0,6,0,2021-11-25 18:28:21
上海市外地来沪,0,113,0,112,1,2021-11-25 18:28:21
宝山区,310113,26,0,25,1,2021-11-25 18:28:21
黄浦区,310101,22,0,22,0,2021-11-25 18:28:21
闵行区,310112,19,0,19,0,2021-11-25 18:28:21
徐汇区,310104,18,0,17,1,2021-11-25 18:28:21
静安区,310106,16,0,15,1,2021-11-25 18:28:21
松江区,310117,16,0,16,0,2021-11-25 18:28:21
长宁区,310105,14,0,14,0,2021-11-25 18:28:21
普陀区,310107,11,0,11,0,2021-11-25 18:28:21
杨浦区,310110,9,0,9,0,2021-11-25 18:28:21
嘉定区,310114,9,0,7,2,2021-11-25 18:28:21
奉贤区,310120,9,0,9,0,2021-11-25 18:28:21
虹口区,310109,7,0,7,0,2021-11-25 18:28:21
金山区,310116,4,0,4,0,2021-11-25 18:28:21
崇明区,310151,4,0,4,0,2021-11-25 18:28:21
境外来沪,0,1,0,1,0,2021-11-25 18:28:21
上海市境外输入,0,2452,8,2385,0,2021-11-25 09:05:28
上海市外地来沪,0,113,0,112,1,2021-11-25 09:05:28
浦东新区,310115,77,0,76,1,2021-11-25 09:05:28
宝山区,310113,26,0,25,1,2021-11-25 09:05:28
黄浦区,310101,22,0,22,0,2021-11-25 09:05:28
闵行区,310112,19,0,19,0,2021-11-25 09:05:28
徐汇区,310104,18,0,17,1,2021-11-25 09:05:28
静安区,310106,16,0,15,1,2021-11-25 09:05:28
松江区,310117,16,0,16,0,2021-11-25 09:05:28
长宁区,310105,14,0,14,0,2021-11-25 09:05:28
普陀区,310107,11,0,11,0,2021-11-25 09:05:28
杨浦区,310110,9,0,9,0,2021-11-25 09:05:28
嘉定区,310114,9,0,7,2,2021-11-25 09:05:28
奉贤区,310120,9,0,9,0,2021-11-25 09:05:28
虹口区,310109,7,0,7,0,2021-11-25 09:05:28
青浦区,310118,6,0,6,0,2021-11-25 09:05:28
金山区,310116,4,0,4,0,2021-11-25 09:05:28
崇明区,310151,4,0,4,0,2021-11-25 09:05:28
境外来沪,0,1,0,1,0,2021-11-25 09:05:28
上海市境外输入,0,2448,8,2384,0,2021-11-24 09:16:27
上海市外地来沪,0,113,0,112,1,2021-11-24 09:16:27
浦东新区,310115,77,0,76,1,2021-11-24 09:16:27
宝山区,310113,26,0,25,1,2021-11-24 09:16:27
黄浦区,310101,22,0,22,0,2021-11-24 09:16:27
闵行区,310112,19,0,19,0,2021-11-24 09:16:27
徐汇区,310104,18,0,17,1,2021-11-24 09:16:27
静安区,310106,16,0,15,1,2021-11-24 09:16:27
松江区,310117,16,0,16,0,2021-11-24 09:16:27
长宁区,310105,14,0,14,0,2021-11-24 09:16:27
普陀区,310107,11,0,11,0,2021-11-24 09:16:27
杨浦区,310110,9,0,9,0,2021-11-24 09:16:27
嘉定区,310114,9,0,7,2,2021-11-24 09:16:27
奉贤区,310120,9,0,9,0,2021-11-24 09:16:27
虹口区,310109,7,0,7,0,2021-11-24 09:16:27
青浦区,310118,6,0,6,0,2021-11-24 09:16:27
金山区,310116,4,0,4,0,2021-11-24 09:16:27
崇明区,310151,4,0,4,0,2021-11-24 09:16:27
境外来沪,0,1,0,1,0,2021-11-24 09:16:27
上海市境外输入,0,2443,8,2377,0,2021-11-23 09:00:32
上海市外地来沪,0,113,0,112,1,2021-11-23 09:00:32
浦东新区,310115,77,0,76,1,2021-11-23 09:00:32
宝山区,310113,26,0,25,1,2021-11-23 09:00:32
黄浦区,310101,22,0,22,0,2021-11-23 09:00:32
闵行区,310112,19,0,19,0,2021-11-23 09:00:32
徐汇区,310104,18,0,17,1,2021-11-23 09:00:32
静安区,310106,16,0,15,1,2021-11-23 09:00:32
松江区,310117,16,0,16,0,2021-11-23 09:00:32
长宁区,310105,14,0,14,0,2021-11-23 09:00:32
普陀区,310107,11,0,11,0,2021-11-23 09:00:32
杨浦区,310110,9,0,9,0,2021-11-23 09:00:32
嘉定区,310114,9,0,7,2,2021-11-23 09:00:32
奉贤区,310120,9,0,9,0,2021-11-23 09:00:32
虹口区,310109,7,0,7,0,2021-11-23 09:00:32
青浦区,310118,6,0,6,0,2021-11-23 09:00:32
金山区,310116,4,0,4,0,2021-11-23 09:00:32
崇明区,310151,4,0,4,0,2021-11-23 09:00:32
境外来沪,0,1,0,1,0,2021-11-23 09:00:32
上海市境外输入,0,2441,8,2371,0,2021-11-22 09:16:39
上海市外地来沪,0,113,0,112,1,2021-11-22 09:16:39
浦东新区,310115,77,0,76,1,2021-11-22 09:16:39
宝山区,310113,26,0,25,1,2021-11-22 09:16:39
黄浦区,310101,22,0,22,0,2021-11-22 09:16:39
闵行区,310112,19,0,19,0,2021-11-22 09:16:39
徐汇区,310104,18,0,17,1,2021-11-22 09:16:39
静安区,310106,16,0,15,1,2021-11-22 09:16:39
松江区,310117,16,0,16,0,2021-11-22 09:16:39
长宁区,310105,14,0,14,0,2021-11-22 09:16:39
普陀区,310107,11,0,11,0,2021-11-22 09:16:39
杨浦区,310110,9,0,9,0,2021-11-22 09:16:39
嘉定区,310114,9,0,7,2,2021-11-22 09:16:39
奉贤区,310120,9,0,9,0,2021-11-22 09:16:39
虹口区,310109,7,0,7,0,2021-11-22 09:16:39
青浦区,310118,6,0,6,0,2021-11-22 09:16:39
金山区,310116,4,0,4,0,2021-11-22 09:16:39
崇明区,310151,4,0,4,0,2021-11-22 09:16:39
境外来沪,0,1,0,1,0,2021-11-22 09:16:39
上海市境外输入,0,2436,8,2365,0,2021-11-21 08:58:39
上海市外地来沪,0,113,0,112,1,2021-11-21 08:58:39
浦东新区,310115,77,0,76,1,2021-11-21 08:58:39
宝山区,310113,26,0,25,1,2021-11-21 08:58:39
黄浦区,310101,22,0,22,0,2021-11-21 08:58:39
闵行区,310112,19,0,19,0,2021-11-21 08:58:39
徐汇区,310104,18,0,17,1,2021-11-21 08:58:39
静安区,310106,16,0,15,1,2021-11-21 08:58:39
松江区,310117,16,0,16,0,2021-11-21 08:58:39
长宁区,310105,14,0,14,0,2021-11-21 08:58:39
普陀区,310107,11,0,11,0,2021-11-21 08:58:39
杨浦区,310110,9,0,9,0,2021-11-21 08:58:39
嘉定区,310114,9,0,7,2,2021-11-21 08:58:39
奉贤区,310120,9,0,9,0,2021-11-21 08:58:39
虹口区,310109,7,0,7,0,2021-11-21 08:58:39
青浦区,310118,6,0,6,0,2021-11-21 08:58:39
金山区,310116,4,0,4,0,2021-11-21 08:58:39
崇明区,310151,4,0,4,0,2021-11-21 08:58:39
境外来沪,0,1,0,1,0,2021-11-21 08:58:39
上海市境外输入,0,2433,8,2365,0,2021-11-20 09:15:55
上海市外地来沪,0,113,0,112,1,2021-11-20 09:15:55
浦东新区,310115,77,0,76,1,2021-11-20 09:15:55
宝山区,310113,26,0,25,1,2021-11-20 09:15:55
黄浦区,310101,22,0,22,0,2021-11-20 09:15:55
闵行区,310112,19,0,19,0,2021-11-20 09:15:55
徐汇区,310104,18,0,17,1,2021-11-20 09:15:55
静安区,310106,16,0,15,1,2021-11-20 09:15:55
松江区,310117,16,0,16,0,2021-11-20 09:15:55
长宁区,310105,14,0,14,0,2021-11-20 09:15:55
普陀区,310107,11,0,11,0,2021-11-20 09:15:55
杨浦区,310110,9,0,9,0,2021-11-20 09:15:55
嘉定区,310114,9,0,7,2,2021-11-20 09:15:55
奉贤区,310120,9,0,9,0,2021-11-20 09:15:55
虹口区,310109,7,0,7,0,2021-11-20 09:15:55
青浦区,310118,6,0,6,0,2021-11-20 09:15:55
金山区,310116,4,0,4,0,2021-11-20 09:15:55
崇明区,310151,4,0,4,0,2021-11-20 09:15:55
境外来沪,0,1,0,1,0,2021-11-20 09:15:55
上海市境外输入,0,2427,8,2361,0,2021-11-19 08:54:28
上海市外地来沪,0,113,0,112,1,2021-11-19 08:54:28
浦东新区,310115,77,0,76,1,2021-11-19 08:54:28
宝山区,310113,26,0,25,1,2021-11-19 08:54:28
黄浦区,310101,22,0,22,0,2021-11-19 08:54:28
闵行区,310112,19,0,19,0,2021-11-19 08:54:28
徐汇区,310104,18,0,17,1,2021-11-19 08:54:28
静安区,310106,16,0,15,1,2021-11-19 08:54:28
松江区,310117,16,0,16,0,2021-11-19 08:54:28
长宁区,310105,14,0,14,0,2021-11-19 08:54:28
普陀区,310107,11,0,11,0,2021-11-19 08:54:28
杨浦区,310110,9,0,9,0,2021-11-19 08:54:28
嘉定区,310114,9,0,7,2,2021-11-19 08:54:28
奉贤区,310120,9,0,9,0,2021-11-19 08:54:28
虹口区,310109,7,0,7,0,2021-11-19 08:54:28
青浦区,310118,6,0,6,0,2021-11-19 08:54:28
金山区,310116,4,0,4,0,2021-11-19 08:54:28
崇明区,310151,4,0,4,0,2021-11-19 08:54:28
境外来沪,0,1,0,1,0,2021-11-19 08:54:28
上海市境外输入,0,2420,8,2356,0,2021-11-18 08:59:17
上海市外地来沪,0,113,0,112,1,2021-11-18 08:59:17
浦东新区,310115,77,0,76,1,2021-11-18 08:59:17
宝山区,310113,26,0,25,1,2021-11-18 08:59:17
黄浦区,310101,22,0,22,0,2021-11-18 08:59:17
闵行区,310112,19,0,19,0,2021-11-18 08:59:17
徐汇区,310104,18,0,17,1,2021-11-18 08:59:17
静安区,310106,16,0,15,1,2021-11-18 08:59:17
松江区,310117,16,0,16,0,2021-11-18 08:59:17
长宁区,310105,14,0,14,0,2021-11-18 08:59:17
普陀区,310107,11,0,11,0,2021-11-18 08:59:17
杨浦区,310110,9,0,9,0,2021-11-18 08:59:17
嘉定区,310114,9,0,7,2,2021-11-18 08:59:17
奉贤区,310120,9,0,9,0,2021-11-18 08:59:17
虹口区,310109,7,0,7,0,2021-11-18 08:59:17
青浦区,310118,6,0,6,0,2021-11-18 08:59:17
金山区,310116,4,0,4,0,2021-11-18 08:59:17
崇明区,310151,4,0,4,0,2021-11-18 08:59:17
境外来沪,0,1,0,1,0,2021-11-18 08:59:17
上海市境外输入,0,2414,8,2352,0,2021-11-17 08:57:11
上海市外地来沪,0,113,0,112,1,2021-11-17 08:57:11
浦东新区,310115,77,0,76,1,2021-11-17 08:57:11
宝山区,310113,26,0,25,1,2021-11-17 08:57:11
黄浦区,310101,22,0,22,0,2021-11-17 08:57:11
闵行区,310112,19,0,19,0,2021-11-17 08:57:11
徐汇区,310104,18,0,17,1,2021-11-17 08:57:11
静安区,310106,16,0,15,1,2021-11-17 08:57:11
松江区,310117,16,0,16,0,2021-11-17 08:57:11
长宁区,310105,14,0,14,0,2021-11-17 08:57:11
普陀区,310107,11,0,11,0,2021-11-17 08:57:11
杨浦区,310110,9,0,9,0,2021-11-17 08:57:11
嘉定区,310114,9,0,7,2,2021-11-17 08:57:11
奉贤区,310120,9,0,9,0,2021-11-17 08:57:11
虹口区,310109,7,0,7,0,2021-11-17 08:57:11
青浦区,310118,6,0,6,0,2021-11-17 08:57:11
金山区,310116,4,0,4,0,2021-11-17 08:57:11
崇明区,310151,4,0,4,0,2021-11-17 08:57:11
境外来沪,0,1,0,1,0,2021-11-17 08:57:11
上海市境外输入,0,2413,8,2348,0,2021-11-16 08:43:05
上海市外地来沪,0,113,0,112,1,2021-11-16 08:43:05
浦东新区,310115,77,0,76,1,2021-11-16 08:43:05
宝山区,310113,26,0,25,1,2021-11-16 08:43:05
黄浦区,310101,22,0,22,0,2021-11-16 08:43:05
闵行区,310112,19,0,19,0,2021-11-16 08:43:05
徐汇区,310104,18,0,17,1,2021-11-16 08:43:05
静安区,310106,16,0,15,1,2021-11-16 08:43:05
松江区,310117,16,0,16,0,2021-11-16 08:43:05
长宁区,310105,14,0,14,0,2021-11-16 08:43:05
普陀区,310107,11,0,11,0,2021-11-16 08:43:05
杨浦区,310110,9,0,9,0,2021-11-16 08:43:05
嘉定区,310114,9,0,7,2,2021-11-16 08:43:05
奉贤区,310120,9,0,9,0,2021-11-16 08:43:05
虹口区,310109,7,0,7,0,2021-11-16 08:43:05
青浦区,310118,6,0,6,0,2021-11-16 08:43:05
金山区,310116,4,0,4,0,2021-11-16 08:43:05
崇明区,310151,4,0,4,0,2021-11-16 08:43:05
境外来沪,0,1,0,1,0,2021-11-16 08:43:05
上海市境外输入,0,2411,8,2342,0,2021-11-15 08:52:28
上海市外地来沪,0,113,0,112,1,2021-11-15 08:52:28
浦东新区,310115,77,0,76,1,2021-11-15 08:52:28
宝山区,310113,26,0,25,1,2021-11-15 08:52:28
黄浦区,310101,22,0,22,0,2021-11-15 08:52:28
闵行区,310112,19,0,19,0,2021-11-15 08:52:28
徐汇区,310104,18,0,17,1,2021-11-15 08:52:28
静安区,310106,16,0,15,1,2021-11-15 08:52:28
松江区,310117,16,0,16,0,2021-11-15 08:52:28
长宁区,310105,14,0,14,0,2021-11-15 08:52:28
普陀区,310107,11,0,11,0,2021-11-15 08:52:28
杨浦区,310110,9,0,9,0,2021-11-15 08:52:28
嘉定区,310114,9,0,7,2,2021-11-15 08:52:28
奉贤区,310120,9,0,9,0,2021-11-15 08:52:28
虹口区,310109,7,0,7,0,2021-11-15 08:52:28
青浦区,310118,6,0,6,0,2021-11-15 08:52:28
金山区,310116,4,0,4,0,2021-11-15 08:52:28
崇明区,310151,4,0,4,0,2021-11-15 08:52:28
境外来沪,0,1,0,1,0,2021-11-15 08:52:28
上海市境外输入,0,2406,8,2339,0,2021-11-14 08:54:48
上海市外地来沪,0,113,0,112,1,2021-11-14 08:54:48
浦东新区,310115,77,0,76,1,2021-11-14 08:54:48
宝山区,310113,26,0,25,1,2021-11-14 08:54:48
黄浦区,310101,22,0,22,0,2021-11-14 08:54:48
闵行区,310112,19,0,19,0,2021-11-14 08:54:48
徐汇区,310104,18,0,17,1,2021-11-14 08:54:48
静安区,310106,16,0,15,1,2021-11-14 08:54:48
松江区,310117,16,0,16,0,2021-11-14 08:54:48
长宁区,310105,14,0,14,0,2021-11-14 08:54:48
普陀区,310107,11,0,11,0,2021-11-14 08:54:48
杨浦区,310110,9,0,9,0,2021-11-14 08:54:48
嘉定区,310114,9,0,7,2,2021-11-14 08:54:48
奉贤区,310120,9,0,9,0,2021-11-14 08:54:48
虹口区,310109,7,0,7,0,2021-11-14 08:54:48
青浦区,310118,6,0,6,0,2021-11-14 08:54:48
金山区,310116,4,0,4,0,2021-11-14 08:54:48
崇明区,310151,4,0,4,0,2021-11-14 08:54:48
境外来沪,0,1,0,1,0,2021-11-14 08:54:48
上海市境外输入,0,2401,8,2334,0,2021-11-13 08:50:44
上海市外地来沪,0,113,0,112,1,2021-11-13 08:50:44
浦东新区,310115,77,0,76,1,2021-11-13 08:50:44
宝山区,310113,26,0,25,1,2021-11-13 08:50:44
黄浦区,310101,22,0,22,0,2021-11-13 08:50:44
闵行区,310112,19,0,19,0,2021-11-13 08:50:44
徐汇区,310104,18,0,17,1,2021-11-13 08:50:44
静安区,310106,16,0,15,1,2021-11-13 08:50:44
松江区,310117,16,0,16,0,2021-11-13 08:50:44
长宁区,310105,14,0,14,0,2021-11-13 08:50:44
普陀区,310107,11,0,11,0,2021-11-13 08:50:44
杨浦区,310110,9,0,9,0,2021-11-13 08:50:44
嘉定区,310114,9,0,7,2,2021-11-13 08:50:44
奉贤区,310120,9,0,9,0,2021-11-13 08:50:44
虹口区,310109,7,0,7,0,2021-11-13 08:50:44
青浦区,310118,6,0,6,0,2021-11-13 08:50:44
金山区,310116,4,0,4,0,2021-11-13 08:50:44
崇明区,310151,4,0,4,0,2021-11-13 08:50:44
境外来沪,0,1,0,1,0,2021-11-13 08:50:44
上海市境外输入,0,2397,8,2332,0,2021-11-12 09:01:20
上海市外地来沪,0,113,0,112,1,2021-11-12 09:01:20
浦东新区,310115,77,0,76,1,2021-11-12 09:01:20
宝山区,310113,26,0,25,1,2021-11-12 09:01:20
黄浦区,310101,22,0,22,0,2021-11-12 09:01:20
闵行区,310112,19,0,19,0,2021-11-12 09:01:20
徐汇区,310104,18,0,17,1,2021-11-12 09:01:20
静安区,310106,16,0,15,1,2021-11-12 09:01:20
松江区,310117,16,0,16,0,2021-11-12 09:01:20
长宁区,310105,14,0,14,0,2021-11-12 09:01:20
普陀区,310107,11,0,11,0,2021-11-12 09:01:20
杨浦区,310110,9,0,9,0,2021-11-12 09:01:20
嘉定区,310114,9,0,7,2,2021-11-12 09:01:20
奉贤区,310120,9,0,9,0,2021-11-12 09:01:20
虹口区,310109,7,0,7,0,2021-11-12 09:01:20
青浦区,310118,6,0,6,0,2021-11-12 09:01:20
金山区,310116,4,0,4,0,2021-11-12 09:01:20
崇明区,310151,4,0,4,0,2021-11-12 09:01:20
境外来沪,0,1,0,1,0,2021-11-12 09:01:20
上海市境外输入,0,2391,8,2326,0,2021-11-11 09:25:13
上海市外地来沪,0,113,0,112,1,2021-11-11 09:25:13
浦东新区,310115,77,0,76,1,2021-11-11 09:25:13
宝山区,310113,26,0,25,1,2021-11-11 09:25:13
黄浦区,310101,22,0,22,0,2021-11-11 09:25:13
闵行区,310112,19,0,19,0,2021-11-11 09:25:13
徐汇区,310104,18,0,17,1,2021-11-11 09:25:13
静安区,310106,16,0,15,1,2021-11-11 09:25:13
松江区,310117,16,0,16,0,2021-11-11 09:25:13
长宁区,310105,14,0,14,0,2021-11-11 09:25:13
普陀区,310107,11,0,11,0,2021-11-11 09:25:13
杨浦区,310110,9,0,9,0,2021-11-11 09:25:13
嘉定区,310114,9,0,7,2,2021-11-11 09:25:13
奉贤区,310120,9,0,9,0,2021-11-11 09:25:13
虹口区,310109,7,0,7,0,2021-11-11 09:25:13
青浦区,310118,6,0,6,0,2021-11-11 09:25:13
金山区,310116,4,0,4,0,2021-11-11 09:25:13
崇明区,310151,4,0,4,0,2021-11-11 09:25:13
境外来沪,0,1,0,1,0,2021-11-11 09:25:13
上海市境外输入,0,2387,8,2324,0,2021-11-10 09:13:31
上海市外地来沪,0,113,0,112,1,2021-11-10 09:13:31
浦东新区,310115,77,0,76,1,2021-11-10 09:13:31
宝山区,310113,26,0,25,1,2021-11-10 09:13:31
黄浦区,310101,22,0,22,0,2021-11-10 09:13:31
闵行区,310112,19,0,19,0,2021-11-10 09:13:31
徐汇区,310104,18,0,17,1,2021-11-10 09:13:31
静安区,310106,16,0,15,1,2021-11-10 09:13:31
松江区,310117,16,0,16,0,2021-11-10 09:13:31
长宁区,310105,14,0,14,0,2021-11-10 09:13:31
普陀区,310107,11,0,11,0,2021-11-10 09:13:31
杨浦区,310110,9,0,9,0,2021-11-10 09:13:31
嘉定区,310114,9,0,7,2,2021-11-10 09:13:31
奉贤区,310120,9,0,9,0,2021-11-10 09:13:31
虹口区,310109,7,0,7,0,2021-11-10 09:13:31
青浦区,310118,6,0,6,0,2021-11-10 09:13:31
金山区,310116,4,0,4,0,2021-11-10 09:13:31
崇明区,310151,4,0,4,0,2021-11-10 09:13:31
境外来沪,0,1,0,1,0,2021-11-10 09:13:31
上海市境外输入,0,2384,8,2316,0,2021-11-09 09:13:25
上海市外地来沪,0,113,0,112,1,2021-11-09 09:13:25
浦东新区,310115,77,0,76,1,2021-11-09 09:13:25
宝山区,310113,26,0,25,1,2021-11-09 09:13:25
黄浦区,310101,22,0,22,0,2021-11-09 09:13:25
闵行区,310112,19,0,19,0,2021-11-09 09:13:25
徐汇区,310104,18,0,17,1,2021-11-09 09:13:25
静安区,310106,16,0,15,1,2021-11-09 09:13:25
松江区,310117,16,0,16,0,2021-11-09 09:13:25
长宁区,310105,14,0,14,0,2021-11-09 09:13:25
普陀区,310107,11,0,11,0,2021-11-09 09:13:25
杨浦区,310110,9,0,9,0,2021-11-09 09:13:25
嘉定区,310114,9,0,7,2,2021-11-09 09:13:25
奉贤区,310120,9,0,9,0,2021-11-09 09:13:25
虹口区,310109,7,0,7,0,2021-11-09 09:13:25
青浦区,310118,6,0,6,0,2021-11-09 09:13:25
金山区,310116,4,0,4,0,2021-11-09 09:13:25
崇明区,310151,4,0,4,0,2021-11-09 09:13:25
境外来沪,0,1,0,1,0,2021-11-09 09:13:25
上海市境外输入,0,2382,8,2314,0,2021-11-08 08:43:31
上海市外地来沪,0,113,0,112,1,2021-11-08 08:43:31
浦东新区,310115,77,0,76,1,2021-11-08 08:43:31
宝山区,310113,26,0,25,1,2021-11-08 08:43:31
黄浦区,310101,22,0,22,0,2021-11-08 08:43:31
闵行区,310112,19,0,19,0,2021-11-08 08:43:31
徐汇区,310104,18,0,17,1,2021-11-08 08:43:31
静安区,310106,16,0,15,1,2021-11-08 08:43:31
松江区,310117,16,0,16,0,2021-11-08 08:43:31
长宁区,310105,14,0,14,0,2021-11-08 08:43:31
普陀区,310107,11,0,11,0,2021-11-08 08:43:31
杨浦区,310110,9,0,9,0,2021-11-08 08:43:31
嘉定区,310114,9,0,7,2,2021-11-08 08:43:31
奉贤区,310120,9,0,9,0,2021-11-08 08:43:31
虹口区,310109,7,0,7,0,2021-11-08 08:43:31
青浦区,310118,6,0,6,0,2021-11-08 08:43:31
金山区,310116,4,0,4,0,2021-11-08 08:43:31
崇明区,310151,4,0,4,0,2021-11-08 08:43:31
境外来沪,0,1,0,1,0,2021-11-08 08:43:31
上海市境外输入,0,2376,8,2310,0,2021-11-07 10:45:33
上海市外地来沪,0,113,0,112,1,2021-11-07 10:45:33
浦东新区,310115,77,0,76,1,2021-11-07 10:45:33
宝山区,310113,26,0,25,1,2021-11-07 10:45:33
黄浦区,310101,22,0,22,0,2021-11-07 10:45:33
闵行区,310112,19,0,19,0,2021-11-07 10:45:33
徐汇区,310104,18,0,17,1,2021-11-07 10:45:33
静安区,310106,16,0,15,1,2021-11-07 10:45:33
松江区,310117,16,0,16,0,2021-11-07 10:45:33
长宁区,310105,14,0,14,0,2021-11-07 10:45:33
普陀区,310107,11,0,11,0,2021-11-07 10:45:33
杨浦区,310110,9,0,9,0,2021-11-07 10:45:33
嘉定区,310114,9,0,7,2,2021-11-07 10:45:33
奉贤区,310120,9,0,9,0,2021-11-07 10:45:33
虹口区,310109,7,0,7,0,2021-11-07 10:45:33
青浦区,310118,6,0,6,0,2021-11-07 10:45:33
金山区,310116,4,0,4,0,2021-11-07 10:45:33
崇明区,310151,4,0,4,0,2021-11-07 10:45:33
境外来沪,0,1,0,1,0,2021-11-07 10:45:33
上海市境外输入,0,2373,8,2309,0,2021-11-06 09:16:36
上海市外地来沪,0,113,0,112,1,2021-11-06 09:16:36
浦东新区,310115,77,0,76,1,2021-11-06 09:16:36
宝山区,310113,26,0,25,1,2021-11-06 09:16:36
黄浦区,310101,22,0,22,0,2021-11-06 09:16:36
闵行区,310112,19,0,19,0,2021-11-06 09:16:36
徐汇区,310104,18,0,17,1,2021-11-06 09:16:36
静安区,310106,16,0,15,1,2021-11-06 09:16:36
松江区,310117,16,0,16,0,2021-11-06 09:16:36
长宁区,310105,14,0,14,0,2021-11-06 09:16:36
普陀区,310107,11,0,11,0,2021-11-06 09:16:36
杨浦区,310110,9,0,9,0,2021-11-06 09:16:36
嘉定区,310114,9,0,7,2,2021-11-06 09:16:36
奉贤区,310120,9,0,9,0,2021-11-06 09:16:36
虹口区,310109,7,0,7,0,2021-11-06 09:16:36
青浦区,310118,6,0,6,0,2021-11-06 09:16:36
金山区,310116,4,0,4,0,2021-11-06 09:16:36
崇明区,310151,4,0,4,0,2021-11-06 09:16:36
境外来沪,0,1,0,1,0,2021-11-06 09:16:36
上海市境外输入,0,2370,8,2309,0,2021-11-05 09:20:13
上海市外地来沪,0,113,0,112,1,2021-11-05 09:20:13
浦东新区,310115,77,0,76,1,2021-11-05 09:20:13
宝山区,310113,26,0,25,1,2021-11-05 09:20:13
黄浦区,310101,22,0,22,0,2021-11-05 09:20:13
闵行区,310112,19,0,19,0,2021-11-05 09:20:13
徐汇区,310104,18,0,17,1,2021-11-05 09:20:13
静安区,310106,16,0,15,1,2021-11-05 09:20:13
松江区,310117,16,0,16,0,2021-11-05 09:20:13
长宁区,310105,14,0,14,0,2021-11-05 09:20:13
普陀区,310107,11,0,11,0,2021-11-05 09:20:13
杨浦区,310110,9,0,9,0,2021-11-05 09:20:13
嘉定区,310114,9,0,7,2,2021-11-05 09:20:13
奉贤区,310120,9,0,9,0,2021-11-05 09:20:13
虹口区,310109,7,0,7,0,2021-11-05 09:20:13
青浦区,310118,6,0,6,0,2021-11-05 09:20:13
